user_id,product_id,score,reason,created_at
5,3,0.2,"Seasonal, Trending",2025-03-23 14:09:09
5,4,0.2172,"Seasonal, Trending",2025-03-23 14:09:09
5,5,0.022,,2025-03-23 14:09:09
5,7,0.0172,,2025-03-23 14:09:09
5,8,0.022,,2025-03-23 14:09:09
5,10,0.1,Seasonal,2025-03-23 14:09:09
5,11,0.022,,2025-03-23 14:09:09
5,13,0.0064,,2025-03-23 14:09:09
5,15,0.1,Seasonal,2025-03-23 14:09:09
5,17,0.2,"Seasonal, Trending",2025-03-23 14:09:09
5,20,0.0096,,2025-03-23 14:09:09
5,22,0.0117,,2025-03-23 14:09:09
5,23,0.0117,,2025-03-23 14:09:09
5,26,0.0091,,2025-03-23 14:09:09
5,27,0.21,"Content-Based, Same Category",2025-03-23 14:09:09
5,28,0.0081,,2025-03-23 14:09:09
5,29,0.2011,"Content-Based, Same Category",2025-03-23 14:09:09
5,30,0.0119,,2025-03-23 14:09:09
5,31,0.2257,"Seasonal, Trending",2025-03-23 14:09:09
5,33,0.0079,,2025-03-23 14:09:09
5,34,0.009,,2025-03-23 14:09:09
5,35,0.0121,,2025-03-23 14:09:09
5,36,0.0086,,2025-03-23 14:09:09
5,37,0.0111,,2025-03-23 14:09:09
